Name	Fraction	Experiment
SP_111010_50_147	1	147
SP_111010_54_151	1	151
SP_111010_59_162	1	162
SP_111010_45_167	1	167
SP_111010_63_170	1	170
SP_111010_94_216	1	216
SP_111010_87_217	1	217
SP_111010_88_218	1	218
SP_111010_49_220	1	220
SP_111010_46_221	1	221
SP_111010_52_224	1	224
SP_111010_47_241	1	241
SP_111010_56_242	1	242
SP_111010_58_245	1	245
SP_111010_66_248	1	248
SP_111010_67_249	1	249
SP_111010_85_251	1	251
SP_111010_53_253	1	253
SP_111010_48_254	1	254
SP_111010_68_255	1	255
SP_111010_86_256	1	256
SP_111010_57_257	1	257
SP_111010_71_259	1	259
SP_111010_74_260	1	260
SP_111010_69_261	1	261
SP_111010_74_262	1	262
SP_111010_71_263	1	263
SP_111010_97_265	1	265
SP_111010_51_268	1	268
SP_111010_78_269	1	269
SP_111010_72_270	1	270
SP_111010_73_271	1	271
SP_111010_73_272	1	272
SP_111010_83_273	1	273
SP_111010_72_275	1	275
SP_111010_104_276	1	276
SP_111010_96_277	1	277
SP_111010_75_281	1	281
SP_111010_70_282	1	282
SP_111010_68_284	1	284
SP_111010_82_285	1	285
SP_111010_105_286	1	286
SP_111010_80_289	1	289
SP_111010_70_290	1	290
SP_111010_76_292	1	292
SP_111010_75_511	1	511
SP_111010_76_518	1	518
SP_111010_95_519	1	519
SP_111010_101_520	1	520
SP_111010_102_522	1	522
SP_111010_98_526	1	526
SP_111010_93_527	1	527
SP_111010_99_530	1	530
SP_111010_81_536	1	536
SP_120627_03_552	1	552
SP_120627_22_554	1	554
SP_120627_48_556	1	556
SP_120627_46_557	1	557
SP_120627_53_558	1	558
SP_120627_47_560	1	560
SP_120627_04_561	1	561
SP_120627_05_563	1	563
SP_120627_23_564	1	564
SP_120627_16_566	1	566
SP_120627_17_567	1	567
SP_120627_19_569	1	569
SP_120627_24_570	1	570
SP_120627_12_572	1	572
SP_120627_13_573	1	573
SP_120627_34_574	1	574
SP_120627_36_575	1	575
SP_120627_32_576	1	576
SP_120627_52_577	1	577
SP_120627_40_578	1	578
SP_120627_44_580	1	580
SP_120627_42_581	1	581
SP_120627_21_584	1	584
SP_120627_18_585	1	585
SP_120627_25_586	1	586
SP_120627_06_587	1	587
SP_120627_10_588	1	588
SP_120627_09_589	1	589
SP_120627_54_591	1	591
SP_120627_35_594	1	594
SP_120627_38_596	1	596
SP_120627_33_599	1	599
SP_120627_45_602	1	602
SP_120627_51_603	1	603
SP_120627_39_604	1	604
SP_120627_41_605	1	605
SP_130709_100_611	1	611
SP_130709_101_612	1	612
SP_130709_102_613	1	613
SP_130709_104_614	1	614
SP_130709_105_615	1	615
SP_130709_107_617	1	617
SP_130709_108_618	1	618
SP_130709_109_619	1	619
SP_130709_110_620	1	620
SP_130709_111_621	1	621
SP_130709_82_622	1	622
SP_130709_83_623	1	623
SP_130709_84_624	1	624
SP_130709_85_625	1	625
SP_130709_86_626	1	626
SP_130709_87_627	1	627
SP_130709_88_628	1	628
SP_130709_89_629	1	629
SP_130709_90_630	1	630
SP_130709_91_631	1	631
SP_130709_92_632	1	632
