Major	Annotation R	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Intensity UCAnoninf_1	Intensity UCAnoninf_2	Intensity UCAnoninf_3	Intensity UCAnoninf_4	Intensity UCAnoninf_5	Intensity UCAnoninf_6	Intensity UCAnoninf_7	Intensity UCAnoninf_8	Intensity UCAnoninf_9	Intensity UCAnoninf_10	Intensity UCAnoninf_11	Intensity UCAnoninf_12	Intensity UCAnoninf_13	Intensity UCAnoninf_14	Intensity UCAnoninf_15	Intensity UCAnoninf_16	Intensity UCAnoninf_17	Intensity UCAnoninf_18	Intensity UCAinf_1	Intensity UCAinf_2	Intensity UCAinf_3	Intensity UCAinf_4	Intensity UCAinf_5	Intensity UCAinf_6	Intensity UCAinf_7	Intensity UCAinf_8	Intensity UCAinf_9	Intensity UCAinf_10	Intensity UCAinf_11	Intensity UCAinf_12	Intensity UCAinf_13	Intensity UCAinf_14	Intensity UCAinf_15	Intensity UCR_1	Intensity UCR_2	Intensity UCR_3	Intensity UCR_4	Intensity UCR_5	Intensity UCR_6	Intensity UCR_7	Intensity UCR_8	Intensity UCR_9	Intensity UCR_10	Intensity UCR_11	Intensity UCR_12	Intensity UCR_13	Intensity UCR_14	Intensity UCR_15	Intensity UCR_16	Intensity UCR_17	Intensity UCR_18	Intensity UCR_19	Intensity UCR_20	Intensity UCR_21	Intensity UCR_22	Intensity UCR_23	Intensity C_1	Intensity C_2	Intensity C_3	Intensity C_4	Intensity C_5	Intensity C_6	Intensity C_7	Intensity C_8	Intensity C_9	Intensity C_10	Intensity C_11	Intensity C_12	Intensity C_13	Intensity C_14	Intensity C_15	Intensity C_16	Intensity C_17	Intensity C_18	Intensity C_19	Intensity C_20	Intensity C_21	Intensity C_22	Intensity C_23	Intensity C_24	Intensity C_25	Intensity C_26	Intensity C_27	Intensity C_28	Intensity C_29	Intensity C_30	Intensity C_31	Intensity C_32	Intensity C_33	Intensity C_34	Intensity C_35	Intensity C_36	Intensity C_37	Intensity C_38	Intensity C_39	Intensity C_40	Intensity C_41	Intensity C_42	Intensity C_43	Intensity C_44	Intensity C_45	Intensity C_46	Intensity C_47
P61604	IC	16	16	16	10 kDa heat shock protein, mitochondrial	HSPE1	68846362.3900001	156875594.6	51203479.3500001	12346195.68		95148037.9392729	30925721.4914592	22958810.3376587	15895082.8874682	32856580.8347	21128917.1122478	4120057.3557775		35643096.1072534	32691343.0177108	2288771.20320386	56074468.7745632	1443649.65351954	21343553.2186028	24627805.2320182	7441391.54581618	14734293.3559483	22141433.5164199	20183513.9749944	3477237.01	1237511.90750444	41705186.6424943	24253148.5605195	6073061.36484537	84387726.0240966	11077063.1100596	56492048.2408887	42983966.1136727	59832385.4340144	32852979.9500001	98830257.4800001	86357939.5600002	61381041.9300001	50968311.7900001	28919679.24	44132596.1	11224997.84	50223428.24	13577718.94	22014318.63	5348059.366	23662349.06	31021276.3200001	2673387.5941898	6806394.69300002	10359170.69	146814825.3	92937794.8100001	130386158.6	167335729.300001	165165932.900001	63820012.1705973	30428549.2223773	46034313.7060935	107037720.033623	18836613.3948453	65090831.2970197	55109836.7016891	69040884.1441538	96472730.8345634	37793220.5781993	68056452.4716899	58618642.194468	41063576.6259766	34201752.1502403	115222958.85724	15224472.587007	74312061.172881	13545504.5453632	25064433.218416	41481930.0209676	54873218.6922557	27753545.0946808	22845780.3904073	26530739.6525632	23947025.5358651	1921484.05126768	971382.466818534	3334482.86231207	4531204.13306604	26801395.2282975	9893900.61366359	35000800.3225858	13087955.3504921	12100813.2077847	2748616.88436862	4870157.47697616		939489.009187089	13039596.5547588	6709450.47408016	16182080.5484373	25490186.9649281	10573091.6196034	7581054.95367907	8915346.06842246	8601417.46851198	141790333.007032
P31946	IC	18	12	9	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	YWHAB	27974567.49	27897859.71	16621239.88	14940133.41	9789285.78	21129674.5526708	38267032.3626827	12382285.0917392	30917140.3890717	38209346.181928	30194829.1209981	3655063.66462205	12839254.4195105	34341789.837977	76009179.0199851	4113583.37238241	40288710.5856045	4054886.09903346	24688052.9580433	41631103.9529231	33310601.6034941	30387113.0048428	22451970.038377	29278167.8130844	8043943.58300002	29075263.8666445	27328176.2056854	21149046.8867782	17173363.0638054	41345963.932211	62872758.9792464	22042654.7502838	33054900.8499088	19544366.0485521	23575142.87	14517664.49	18318729.47	23101121.6000001	30325505.52	31456698.73	26631921.09	12799604.24	15676993.37	7526395.50500001	40186361.5600001	11264000.2	30233971.32	35050525.0300001	40261118.5195097	11195288.31	6443418.985	32556791.58	37031790	40641611.9700001	51834268.7600001	50896834.87	30422820.676926	13681832.3644608	29748487.386083	18448315.0115517	33556261.414109	9476565.88918737	24961995.0848043	15596620.2532546	15375745.5368077	22408063.764188	28528323.444982	20711495.8152759	12566449.4472501	32407813.158274	30244279.7530178	18606486.9758428	19698400.3219042	25285292.2725127	14812887.2993495	30595339.3070989	25301929.6430828	12300796.9040583	13566163.3486823	26284376.7163081	13158044.2524257	83301051.7384428	43682000.4951563	69275161.0005457	31564773.3800524	34300717.3008606	13968427.8922115	31399531.9128195	28561859.7820749	29611984.1618902	2519592.68770249	34927183.9770646	25891943.2149369	8371558.54670148	23740900.0111703	8843867.98216067	8668138.96812907	6030200.8433271	3359900.28564552	12924119.3772051	8375771.41107641	10424904.6980441	42959406.2280596
P62258	IC	14	11	11	14-3-3 protein epsilon	YWHAE	75038414.06	48618001.9700002	27738779.72	9170712.53300001	14146352.49	21449141.6337937	80253154.6233656	18145358.5774865	28801408.5229139	112016472.405133	56563749.1013883	10628798.7458183	13458606.6812615	30047082.4096487	62074304.5528943	4794354.12321869	34124912.8922522	12424686.1101539	76423571.5419427	98664143.8590431	66984610.6338601	27845537.5196417	22148613.5516096	33410939.9954446	8229594.129	36897724.2926828	19439836.8603098	26087358.7517786	2912115.74984759	47995441.4348468	57389947.9334553	34339495.8802025	29081787.8336432	20706354.9284204	26133483.3300001	16949728.99	19463337.67	22469195.11	43886973.33	37721429.8900001	24557666.45	10536209.74	22269191.4700001	18474920.06	56745929.46	31703323.06	34049579.9500001	44694878.3500001	49018682.4927274	16415313.61		41755177.1800001	40897136.8800001	45217931.47	87099992.1600002	62928638.4400002	30001628.9463129	12241587.9528305	21732478.3310163	21215901.6842915	60186644.4234007	12714299.1887414	23513409.2321479	14789774.5648705	15932766.5581385	20311112.7377547	38263257.0844146	16936219.7010952	20035051.4989644	80370025.657464	40857785.4764387	24083685.6123786	38503258.2504809	43615814.9657043	27335352.5499729	79773994.8916817	29856398.3019239	25081643.0595532	25647283.8968842	34102860.2450441	18478258.0570008	112992614.940039	39387090.9288443	47609152.1548437	52649210.67002	30328696.1868792	49111225.6696871	24255805.432351	33486844.1455226	47172661.6574655	5168880.85717827	42234046.1075557	20749053.2287907	8920481.53573653	35822628.3725518	8608774.577159	5819286.68549198	3377159.1351868	11986973.9830494	6660407.8484406		2514435.52981634	49274882.0559476
Q04917	IC	12	6	6	14-3-3 protein eta	YWHAH	142757498.7	19249654.4900001	6825212.72400002	15525764.63	11732238.21	11259415.1849465	48853240.7097434	8201755.49622691	10328070.9407217	41498785.2298209	29177467.2447995	7024317.44860661	10305447.4016517	39061008.7626852	35671011.6505823	4334572.76186239	50010925.6220065		36383656.0181939	48949764.6020959	46404952.8016843	9694946.91814545	35609384.5236108	38762464.7781049	6478130.79800002	19335480.3101006	10390496.5650194	21289603.400769	81385331.4486698	23177290.2508082	23376494.8915429	19269961.4223018	10630537.2811651	8215261.38066963	35772507.1800001	5156570.43000001	7980080.90700002	8785411.31900002	17650982.79	13604683.32	8423585.826	3710013.03400001	7883854.32400001	17227544.97	16072239.26	23281783.3300001	46531516.9600001	49037152.21	17782959.950798	45288347.1700001	134613351.100001	13130519.9	10910049.76	13181747.55	46357137.4100002	59993164.2300002	20786048.530325	4910473.01549729	10828749.3272404	9329900.20412111	36798485.8102103	7514942.45688429	9764104.38991199	9202409.64877081	8075511.81713868	7497389.0946168	15637728.0921373	7600952.9072327	10693194.641676	41820472.0545723	12018995.4133335	7608356.75808807	18173440.2837699	14613952.7063587	12989956.8533561	29627262.269542	8510207.88690502	7727769.58732118	11103165.5332514	16571447.160508	29254679.4087949	50162341.1384832	24626474.8621949	24253515.003781	30292094.4208064	44944759.1572233	55887761.66291	25298824.0928164	12401202.1129389	22486578.3718008	2871879.83595326	48199347.683702	13611350.6604494	9228198.54567826	26174432.575602	50619389.5276197	3813681.35444749	44078866.6361991	14410339.9007862	72314298.0123132	197177197.308907	122152074.466021	14346606.2502812
P61981	IC	16	8	8	14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed	YWHAG	166300056.7	24876088.13	16568635.8200001	50407866.8600001	23874253.79	17794371.7854541	91932416.6893109	21097723.4601129	21641396.1858772	117679816.972811	46734488.3489781	15426321.7422334	16423089.1129207	112287258.189619	56715718.3572118	13070893.3631627	99837432.3973645		65939957.6317162	119729998.934781	110762715.959707	27512440.5529994	101570572.803131	111669165.141353	16672012.75	48782463.9121825	17884649.911485	50049279.7957167	24568943.1377407	41668331.4307801	43823309.8832705	27172768.7337486	20151139.4126019	22004626.4546932	57517215.5400001	12222761.88	11432024.3	16178825.53	31266753.36	23768659.47	21252435.95	8010380.83500003	16550148.6600001	18908001.99	30112555.0500001	28293998.8200001	106774013.8	67256183.4900002	33977177.9383329	58854859.7400001	22315078.99	29820406.1100001	23833901.9900001	7100889.98000001	17467276.6000001	18883041.26	29701115.7452574	8799753.01853338	26261731.9467643	14348109.2465795	78531342.8648783	14133773.6717604	13692996.175863	16945695.000899	11140937.6234779	2679662.90126986	25755470.4684227	21425063.3213992	24572830.0442796	57906817.8235914	27765314.7342337	19084257.6403392	27302458.2904278	20705290.0079749	36720174.7736662	73541357.5686121	17539678.5830759	16795211.5042327	14236690.8040632	26200839.8586125	87404131.2195787	69961726.9948746	39856062.7707727	34057684.3670273	41059658.9732531	89545926.3039732	80351609.8208984	76676574.1289801	23837534.224271	38973435.4083568	8008336.8226882	73740666.1826594	23424698.2593578	18040772.1433993	53545379.3630456	59071221.6409493	9487569.14822697	26774047.2641729	28887272.4198463	33232244.0632092	25480189.1351691	23646075.9821783	29207740.1813137
P31947	IC	22	17	17	14-3-3 protein sigma	SFN	46938888.9	64478262.9400001	18715539.12	9511195.80100003	9769577.04800002	31450620.582499	81733684.0413595	22293455.0854351	67537243.8504955	43048980.6431956	109067216.120291	9993593.43785007	11854853.4736811	48912055.9169939	21564696.4300073	2972793.89242454	95807447.399462	573763.751779413	64001143.9383064	26187330.5940833	57262857.6289579	23116016.8905374	51915244.4395539	45698112.4374659		42636980.1427597	48775897.9979433	52794142.7364296	12623695.0007238	67179935.5297465	38797581.1398279	63347788.532374	49675939.1874092	54491540.2491375	20083802.44	49706853.65	48652096.3200001	70906422.83	56458062.2300001	64961756.1900002	63034712.9700001	13724665.06	29640015.2300001	26274780.7700001	91446161.7000004	11654969.97	30032767.05	71069838.7200001	80939029.0163423	33705259.1200001	10232617.12	36222515.5200001	35993338.5900001	63922420.3600001	50544154.5600001	62065660.2600001	58306659.7417852	21715609.0326438	29842713.1827987	54777328.6736612	56028580.4287139	32947825.2941487	43148786.1189395	28394442.6799758	34656844.5852854	42857470.0463384	71551586.0838206	66969238.8832264	14342798.6070775	56926061.8938777	44763392.4083643	50878343.5484001	49895212.0224887	47638594.5730931	52351602.5847944	78405688.1248166	49729119.834108	38894222.974434	34147935.39858	55938545.3193225	10541680.5603515	77231800.9411311	59914970.0190229	28098931.2133269	134042284.292993	43937132.9421119	43398106.1709301	61012267.3475943	71163736.9073776	93797215.1772319	3299855.33434261	29526616.8868975	8610985.13236709	13147933.6956354	41716528.2047158	48246675.7071125	20167642.3796859	42017613.7620572	24108646.671244	22048783.9872343	14227263.2152835	14255578.9625013	37885544.7379844
P27348	IC	10	5	5	14-3-3 protein theta	YWHAQ	27635586.56	11688155.9	6022178.83200001	8479395.30600001		4564835.77770104	15227879.5766737	3743302.95772492	2862439.50998489	15629426.648576	8128289.30663214	3272315.08243075	3903149.75021363	4928102.38530997	32203941.2061522	2800227.52706262	16442982.4008404		7236884.98501112	16124713.2024057	11170950.9145016	6339337.20213653	13847954.3696088	12116751.4809312	2258748.31	9717988.91407523	5327824.12042439	8182970.05273245	11157451.9351855	10780135.0003759	12850107.1266937	4423963.3804537	3958243.90866486	2555658.25862416	8646352.97800001	3502746.09600001	4070169.276	4188617.27500001	7016821.61600001	5416268.842	4137044.319	1064494.424	2499064.98500001	2228531.63100001	6051135.96500001	1178320.127	21211535.6400001	17036722.15	5703637.90505788	5692048.86600001	11065227.48	8152260.26400001	6373495.484	10427192.68	23204214.88	21426130.08	4798746.23417639	1198930.85668821	7007191.58895296	3194996.04852046	10766316.0345653	1399864.84017262	4037195.14828912	2784695.99990297	4017326.63248524	3812617.73182387	4617487.25340511	3347825.30400716	3948866.91234492	15905133.2495553	8671278.3690728	2046725.32351064	4882963.11984024	6579958.49012558	3093819.27423217	24020625.2923131	3640056.55757091	1745388.3732948	3669902.51838075	3394711.35612047	9865609.75695346	26565080.6775	8225111.72811022	10857834.2296612	9279113.96781655	19945394.3668332	14464571.8388451	10563547.6970627	3369665.15289313	7752960.13957555	2752306.60980678	10400075.1403874	9248194.85317807	3830593.80985747	7902138.91873623	2883641.61295774	9833994.91542283	4051640.70341999	2038642.20034437	9609335.31811135	11120134.1733251	5478046.71281913	14921302.741787
P63104	IC	28	28	21	14-3-3 protein zeta/delta	YWHAZ	117134528.300001	151997534.200001	90352409.0000001	69913472.3100001	40770384.9	86998028.5213729	239748473.78181	70885374.6132382	88510324.0513313	193366622.651955	241626718.962274	22385623.2944255	45336790.6437041	182232470.163226	300063824.569445	8066943.50319771	170643130.116964	8197067.24959204	126862243.2881	156861417.777362	146756972.630157	80000309.1459431	137357663.197688	211403752.932596	24771674.3300001	103760660.352813	108344177.505107	191348685.535359	111724467.991457	161111190.683503	199832029.422025	110021537.494973	118222525.226977	94111057.3901322	92094724.02	70395779.4500002	67351945.3400002	151184956.1	118179613.400001	132147588.2	107408676.9	40603752.2100001	84985457.0200003	83797823.8300003	174669853.4	85443432.4400002	200181276.7	153534345.8	119343080.323283	71122844.7399999	102496377.7	142921929.800001	168324679.2	83923857.6600002	172130449.4	159421734.400001	119112074.919118	67332160.5627573	115059721.810823	112599002.687336	245447549.372771	42244773.4463392	111012081.651932	60460890.4119536	106816668.092331	140367947.56154	116572571.261044	80089331.3935822	91808561.3876451	163221168.964932	148537710.44291	93800112.6447558	115469103.727623	141907788.959767	73358897.0226847	176255015.406783	107323615.351558	73379621.5253066	75636123.0012809	212141142.17865	93536842.671287	278026466.766216	166969244.577186	243816688.453822	148284612.682794	191607374.351142	161523393.882781	156485663.671066	153013012.64418	196800289.613454	25072174.1388777	181990475.523267	109966361.602814	39688594.7979541	208328121.760768	42780593.8954526	81140242.9146533	67466353.2685057	38426967.6813242	106023746.322596	111629143.821797	76476006.7251078	145040573.438445
Q9C0C2	IC	2	2	2	182 kDa tankyrase-1-binding protein	TNKS1BP1	325900.2549	460769.6678		295185.374			527279.977008356	582841.661804448			374813.398559339			524073.32817093			464710.739346596		566443.513509435		657437.072250288	1144256.52499804	315239.445006377	556716.989684351		748464.346777424	605583.638716138	544612.89478057		505660.890118596	681466.181153924		589822.512387172	1333389.41241986			588829.6928	469554.0408		1758090.911	1667097.315	846739.276500002	468493.8371		1546067.704		282607.150100001		539511.319285019	1201901.57		750420.157600001	973638.333400002		826565.132500001	640666.9091	960814.057390198		535002.044926754	1145363.13358254			645506.203621054		675769.421049915	142119.164726984	641667.07000125	568625.764359043	206393.764708645		600307.649604365	482261.520643853	565062.869444446	1218083.47171003		661952.606140061	949450.208587088		607946.383436644		335687.993784604	402217.300362274		388270.096783668	253414.900288768			323024.435890433	289058.463060358	447668.794874783		320417.267761498			626007.915866081			608034.215895114	722227.214554072			417223.738648445	605961.780084782
Q16698	IC	11	11	11	2,4-dienoyl-CoA reductase, mitochondrial	DECR1	2457811.149	12083046.5	2352223.533	1651534.52	4605068.249	15286250.6806249	6082437.85752359	12504863.0844427	6780577.44174581	3145762.39982399	8484693.29981266			5657905.09333861	6584600.11295487		6675095.85140927	4213688.7991483	6292382.0249485	1697588.8006863	5351194.50522634	3767417.95216585	3928556.25407675	1438741.27720987	955849.124100002	9337188.07760917	7808270.314347	3518795.7063344	5962014.49495174	27344227.0490305	4333140.22626475	10736528.8869076	8265474.51925376	7172197.04171616	1327381.154	8563507.92400002	12466982.53	12544306.02	17806133.5300001	11187318.77	13934314.71	4007070.78900001	24916021.2	9398125.60600002	11650420.31	3240893.44400001	1124295.507	2675501.298	6450657.37210595	3251455.65400001	6316064.44200001	21510055.04	21353156.97	11597562.05	22066862.69	17705885.09	7069868.83553857	16851806.0717268	14979495.9127772	14254115.7369393	14229508.9321537	8503993.51876964	11368447.2793902	10438669.7833718	16422551.9872937	9713618.3030914	14441208.5612103	9346407.99656024	10730583.4341294	3898342.44380231	23452905.223422	3872951.96140879	20813396.439932	10674756.4975422	7960550.26101195	4287418.21562527	15160532.8611825	8544597.57716865	12458976.9668727	8631622.8062718	6453639.36030397	7308987.96485246	6786131.61592333	10636768.8528991	9071281.99098555	8041880.66215083	2761106.9228315	6646087.22903246	17243239.371318	12785653.6981141	1344333.50455392	5785005.66539545	6486364.02888706		10766438.4935611	4831713.96704645	6335094.66674466	17717272.1295788	5208148.13646998	4139016.42869902	445928.038309883	7605883.03928606	19281573.3828202
