Name	Fraction	Experiment
UCA_1	1	UCA_1
UCA_2	1	UCA_2
UCA_3	1	UCA_3
UCA_4	1	UCA_4
UCA_5	1	UCA_5
UCA_6	1	UCA_6
UCA_7	1	UCA_7
UCA_8	1	UCA_8
UCA_9	1	UCA_9
UCA_10	1	UCA_10
UCA_11	1	UCA_11
UCA_12	1	UCA_12
UCA_13	1	UCA_13
UCA_14	1	UCA_14
UCA_15	1	UCA_15
UCA_16	1	UCA_16
UCA_17	1	UCA_17
UCA_18	1	UCA_18
UCA_19	1	UCA_19
UCA_20	1	UCA_20
UCA_21	1	UCA_21
UCA_22	1	UCA_22
UCA_23	1	UCA_23
UCA_24	1	UCA_24
UCA_25	1	UCA_25
UCA_26	1	UCA_26
UCA_27	1	UCA_27
UCA_28	1	UCA_28
UCA_29	1	UCA_29
UCA_30	1	UCA_30
UCA_31	1	UCA_31
UCA_32	1	UCA_32
UCA_33	1	UCA_33
UCA_34	1	UCA_34
UCA_35	1	UCA_35
UCA_36	1	UCA_36
UCR_1	1	UCR_1
UCR_2	1	UCR_2
UCR_3	1	UCR_3
UCR_4	1	UCR_4
UCR_5	1	UCR_5
UCR_6	1	UCR_6
UCR_7	1	UCR_7
UCR_8	1	UCR_8
UCR_9	1	UCR_9
UCR_10	1	UCR_10
UCR_11	1	UCR_11
UCR_12	1	UCR_12
UCR_13	1	UCR_13
UCR_14	1	UCR_14
UCR_15	1	UCR_15
UCR_16	1	UCR_16
UCR_17	1	UCR_17
UCR_18	1	UCR_18
UCR_19	1	UCR_19
UCR_20	1	UCR_20
UCR_21	1	UCR_21
UCR_22	1	UCR_22
UCR_23	1	UCR_23
UCR_24	1	UCR_24
UCR_25	1	UCR_25
UCR_26	1	UCR_26
UCR_27	1	UCR_27
UCR_28	1	UCR_28
C_1	1	C_1
C_2	1	C_2
C_3	1	C_3
C_4	1	C_4
C_5	1	C_5
C_6	1	C_6
C_7	1	C_7
C_8	1	C_8
C_9	1	C_9
C_10	1	C_10
C_11	1	C_11
C_12	1	C_12
C_13	1	C_13
C_14	1	C_14
C_15	1	C_15
C_16	1	C_16
C_17	1	C_17
C_18	1	C_18
C_19	1	C_19
C_20	1	C_20
C_21	1	C_21
C_22	1	C_22
C_23	1	C_23
C_24	1	C_24
C_25	1	C_25
C_26	1	C_26
C_27	1	C_27
C_28	1	C_28
C_29	1	C_29
C_30	1	C_30
C_31	1	C_31
C_32	1	C_32
C_33	1	C_33
C_34	1	C_34
C_35	1	C_35
C_36	1	C_36
C_37	1	C_37
C_38	1	C_38
C_39	1	C_39
C_40	1	C_40
C_41	1	C_41
C_42	1	C_42
C_43	1	C_43
C_44	1	C_44
C_45	1	C_45
C_46	1	C_46
C_47	1	C_47
