Protein IDs	Leading	Core mucus proteome (yes if included)	Annotation (IC=intracellular, S=secreted, S+ER=secreted with ER retention motif, TM=transmembrane, L=lipidated and P=plasma)	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Intensity UCA_1	Intensity UCA_2	Intensity UCA_3	Intensity UCA_4	Intensity UCA_5	Intensity UCA_6	Intensity UCA_7	Intensity UCA_8	Intensity UCA_9	Intensity UCA_10	Intensity UCA_11	Intensity UCA_12	Intensity UCA_13	Intensity UCA_14	Intensity UCA_15	Intensity UCA_16	Intensity UCA_17	Intensity UCA_18	Intensity UCA_19	Intensity UCA_20	Intensity UCA_21	Intensity UCA_22	Intensity UCA_23	Intensity UCA_24	Intensity UCA_25	Intensity UCA_26	Intensity UCA_27	Intensity UCA_28	Intensity UCA_29	Intensity UCA_30	Intensity UCA_31	Intensity UCA_32	Intensity UCA_33	Intensity UCA_34	Intensity UCA_35	Intensity UCA_36	Intensity UCR_1	Intensity UCR_2	Intensity UCR_3	Intensity UCR_4	Intensity UCR_5	Intensity UCR_6	Intensity UCR_7	Intensity UCR_8	Intensity UCR_9	Intensity UCR_10	Intensity UCR_11	Intensity UCR_12	Intensity UCR_13	Intensity UCR_14	Intensity UCR_15	Intensity UCR_16	Intensity UCR_17	Intensity UCR_18	Intensity UCR_19	Intensity UCR_20	Intensity UCR_21	Intensity UCR_22	Intensity UCR_23	Intensity UCR_24	Intensity UCR_25	Intensity UCR_26	Intensity UCR_27	Intensity UCR_28	Intensity C_1	Intensity C_2	Intensity C_3	Intensity C_4	Intensity C_5	Intensity C_6	Intensity C_7	Intensity C_8	Intensity C_9	Intensity C_10	Intensity C_11	Intensity C_12	Intensity C_13	Intensity C_14	Intensity C_15	Intensity C_16	Intensity C_17	Intensity C_18	Intensity C_19	Intensity C_20	Intensity C_21	Intensity C_22	Intensity C_23	Intensity C_24	Intensity C_25	Intensity C_26	Intensity C_27	Intensity C_28	Intensity C_29	Intensity C_30	Intensity C_31	Intensity C_32	Intensity C_33	Intensity C_34	Intensity C_35	Intensity C_36	Intensity C_37	Intensity C_38	Intensity C_39	Intensity C_40	Intensity C_41	Intensity C_42	Intensity C_43	Intensity C_44	Intensity C_45	Intensity C_46	Intensity C_47	Number of IDs in controls	Number of IDs in UCA	Number of IDs in UCR	Number of IDs in total	Sequence annotation (SIGNAL or NC (non-classical))	Sequence annotation (ER retention)
P04217;CON__Q2KJF1	P04217	Yes	S	6;1	6;1	6;1	Alpha-1B-glycoprotein	A1BG	1658480.821	6886548.745	13011286.09	2200257.355	13269108.65	3830379.26128369	7897663.16798118	2728393.77940319	11272703.24378	4734488.87115656	7791731.23613929	4791416.20503301	12595961.9039228	3715355.20765108	3845803.42866546	1553733.31579905	2975922.21713483		3151330.61142744	2857124.00264211	2087660.43386484	1458947.25038312		2111647.13970232	3019925.86147789	4535245.51923852	3122980.17469514	754402.231627568	4487442.75442129	395483.617	9684691.54363701	2862221.77594153	3831298.52652228	54569987.9365202	6648959.22691454		8178823.70468363	3049420.111	3934373.597	7145929.587	2566121.613	3432378.416	5366922.763	8947344.775	3068566.316	11150740.41	8570404.398	14400014.11	4561567.398	9918194.345	4410456.482	2621617.683		1518206.54	6701521.39	4309727.694508	15443037.62	42235251.8	12858946.54	10815399.24	7240419.04	4891395.829	3415959.264	3963362.124	10120906.0122383	2561826.99604196	2743173.56693876	11814984.1617756	2540249.83397198	4195145.27382159	4167522.46481338	4799874.67603174	4340988.42928077	3270492.00588609	5833385.04528645	6152596.5565141	5767030.47679372	4842271.31310885	4210425.57738617	7487268.22845441	11928201.2210756	16177855.9186398	2882214.79294615	4363530.27953212	5984503.87678898	9620056.75286758	4120870.80030922	6384198.1584698	9961758.19920483	3741758.25159505	3678920.50509989	3570085.69048076	2234403.91810086	3317246.83586683	3153367.98647963	1482539.45917906	3254576.04461046	4530202.16262211	1430862.46394446	4975661.2964937	3903527.67578283	4967904.83942682	3736123.83677424	12905154.5971758	32588171.9896046	17719293.9568217	8873163.69129843	23937473.993679	40547230.323114	20614199.5811714	9199642.46676598	47	33	27	107	SIGNAL 1 21	
O95994	O95994	Yes	S	19	19	18	Anterior gradient protein 2 homolog	AGR2	406657476.7	274130835.2	121671552.7	51840620.45	23016102.78	417898750.406976	328196353.108076	373044043.368711	140011846.575987	427241290.059604	172920673.922671	244604610.272829	133600472.903473	107663898.93073	388955273.47474	484233515.014113	163384254.232084	142405872.793188	206670851.177982	127934892.614527	20522267.7031902	184383303.673016	6975506.11885331	249152541.80048	283724072.327774	358920427.046613	224843884.630254	11897109.7638303	50705281.1452937	9576759.438	33959685.4065621	164500038.669113	351774937.992751	133516532.076952	276147669.754822	8173231.36672879	141436999.546748	104894329.7	384830436.2	522545845.2	392584367.8	341202611.2	262269400.8	149376226.4	397080307	166272252.3	187587454.8	182898256	192646128.1	199350071	218426123.4	225422483.3	171304828.2	62644417.78	203127995.6	63310454.732884	51811527.73	112398393.6	245200790.7	330672854.2	414302968.2	486975002.2	290727292	146733258.4	299401065.586951	330247749.859211	164349837.514072	278387888.107742	390614468.128099	250884781.855915	589333767.892651	365790322.53715	335872814.728322	332362979.71294	316429384.783726	126765665.362894	323161252.650394	637309492.287188	342601804.203515	158400255.395913	163564622.946072	99357793.7462979	339381695.304102	363045992.918426	203046317.193303	196889967.689486	187047870.589262	210215546.814817	158536654.441934	79820501.7490102	127780648.707018	115722918.965878	82362177.7846006	171661979.984308	52834500.596636	324425505.732849	214534148.587333	165045379.442237	18151163.4851347	60982652.9389446	5461318.23631863	19096669.2555401	395544828.539497	45096936.5452782	126004045.275013	260017092.573831	74617028.7760788	276184392.709353	117244973.550638	109281236.488171	237419379.333329	47	36	28	111	SIGNAL 1 20	
P07355;A6NMY6	P07355	Yes	S	52;40	52;40	52;40	Annexin A2;Putative annexin A2-like protein	ANXA2;ANXA2P2	234043069.4	339403929.1	420388653.4	40994185.47	213059597.4	576912766.451664	310355528.270411	328755969.053112	231970750.395212	567826059.624346	127911516.676666	205099855.316704	325289559.547669	239606332.799123	193426347.441968	254226646.41572	158436682.085818	29527109.6997081	160656702.371936	262536975.28517	93603386.0677426	67416940.4142438	92790043.3209414	60115985.5036906	35263341.746425	104831061.725583	236425039.491863	50393176.5699241	83963796.771412	57988964.21	455568568.268229	547860080.824135	631876517.114285	440537786.271026	528568676.994393	198382647.94462	262150429.515003	59169032.52	275113550.6	359865705.8	363469334	405959371.7	388833618.8	326925753	413035367.7	228545148.1	238316596.6	481951871.7	500685418.2	268466207.1	262427940.3	128168541	35317409.25	124892198.8	288719072.7	122677416.141866	724093403.3	305210367.9	379190745.2	585463035.6	415062442.5	318694312.2	250139429.3	215043374.8	225917306.069029	283505895.19488	204317613.755022	466458457.174528	308670925.096745	369781836.532942	397430200.076782	282091833.889486	425942648.400328	496466308.426726	370688515.455916	223662296.826353	298087870.609187	181563253.372292	329003946.413446	270156738.930226	319836931.321202	423489219.433184	339737333.087776	295827922.996188	239625227.705839	254602865.582638	319456361.53664	347669074.697773	59906542.9378728	223363126.48113	251870598.081279	167192705.598958	195168237.388817	68081172.9404727	105805989.610396	108643452.842185	430629654.446546	301860242.975021	301966476.810479	56451769.7308965	340566342.8841	235189628.585053	329391714.338593	499365296.645903	534753140.396203	548825005.086632	525900068.133379	407571382.449538	357696948.602698	368537364.419158	313546983.071152	47	36	28	111	NC	
P35613	P35613	Yes	S	6	6	6	Basigin	BSG		18072052.33	7624301.311		14798793.62	3963417.03591583	2676825.19975866	2928601.93998067	6342279.74742141	4088456.93171293	1628433.49938709		4491934.93183969	1240900.22087394	762435.046141391					2968025.61257007		4358460.86106357		1114104.63416723	735876.176965393		18306164.2997041		3810662.71853273		9080495.62186732	5974073.3467747	2153095.6025289	4512746.74710423	7818914.83988803		10622443.2824217		5367606.026	9463965.476	10328651.99	8609527.208	11233948.09	432816.1936		6992878.114	1963230.049	16046819.83	3392189	5012696.918		3191025.717		1573763.322	2096775.614	8757810.59568947	1830340.787	12804337.86	31966145.36	21546965.17	9800139.541	3102029.713	1669343.109		2629135.57238332	3161422.96999329	2147746.72386281	5435957.97419268		5745460.56709339	7959048.35094351	4907712.17379385	9946730.0670687	10170588.2758768	12800750.6884199	7468850.07524408	1975120.18909507	1682873.25423055	4799666.08162251	5265822.73723354	2878288.3557479	6822560.61868617			4255285.92808192	5762451.67325195	1334951.07630656	10701920.9981801	786858.062532731	7624308.42454766	8490135.3504093	2897157.87784799	1559370.32773526	2687206.30886076			14890225.170181	17598396.7652663	3547360.81063706	1262071.37525615	12944647.0307206	4061864.5312307	2931788.23096397	8347417.33127159	4252293.01690436	20877388.1102397	1043597.13647027	6368241.98288537	14239132.8686074	7165951.63437098	21955992.6720585	42	23	23	88	SIGNAL 1 21	
Q969H8	Q969H8	Yes	S	4	4	4	UPF0556 protein C19orf10	C19orf10	5528712.516	3218004.937	7567751.944			4830472.2546121	1267119.44793957	8896974.26559251	2939318.61397737	5594097.73466295	2293806.09768518	3292274.41721302			7058439.0394585	5498872.61528297	2332848.52206094	2524815.297086	2514602.12203882	1630659.56321456				928767.6757244		890032.54641509	675096.588274256						2030745.16801784		4271006.56303355		1912260.7121785		5281194.567	8151612.825	2888011.43	3185135.609	597627.7304	2758171.943	2913232.163	784777.2737	1332774.325	3057950.711		2193683.274	2462836.659								5771088.6	5436365.208	925546.0151	2411219.236	10124664.64	4855870.337	4365723.27517526	3052841.66118989	3995013.39641175	4950847.02721621	1511033.85959458	1964952.12797955	4258796.99659518	5186430.62954821	4426222.47228477	3077707.79861721	2237308.31018446	2203570.73359329	2392272.28775386	539779.485395926	5927155.12338242	2475613.84177228	1913978.38097352		3453873.84973564	3562899.7825703	637164.584509911		2349640.88982961	4872605.79786161						594645.676281792		1798039.63110096							1137837.94308158								5240084.85885119	26	21	19	66	SIGNAL 1 31	
P27824	P27824	Yes	S	7	7	7	Calnexin	CANX		169267.6859				3398622.40935253	1469354.43355026	3826652.306398	1679056.96744043	9421868.40031157	2383240.35174253		2294354.7708217	2212186.11913392	2840004.70525932	94918.4111471613	1053342.1683511		502525.591504954	380914.951124442														15927091.823343			1683592.77705378		2910953.926	7081954.827	4304464.076	4006954.116	3620830.45	3826447.924	2344263.906	4739860.432	4938426.764	6027342.082	9279128.196	2349871.781							4041817.463	2247727.581	250043.6767	463057.3794					905704.195558852	3329565.7120898	1866953.84964996	5967021.30365991	1143962.30413926	487143.077165189	4899308.07658638	586138.276297718	2966744.64490014	4824941.5087067	3651921.35985227	946524.749200381	2081640.09575826	788891.491543199	3743905.73970521	4851770.50289401	2048802.82493713	4835220.75514701	1558783.35021616	670333.485087108	2449634.4350203	1079785.20092991	248714.485283705	2187249.79268222																679080.432267747	5758578.90080789	6874616.99132646	1027796.52431616	3635192.624986	2050853.53835913	1355420.12539109	548149.112480367	32	15	17	64	SIGNAL 1 20 Potential.	
P12830;P22223	P12830	Yes	S	15;2	15;2	15;2	Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3	CDH1	2541958.18	20165679.5	13020820.57	3579160.113	14412625.67	10414055.3376105	10829591.1186952	10726749.153876	15424114.2910228	10308311.0073478	2478834.61819669	15814592.2346044	8266621.67135408	8457508.68637369	1916720.22033906	4671381.54445015	8057790.8780343	322436.55728171	14138643.9370507	15911173.1268535		6710999.39098816	1502544.48533733	9641171.84441634	7230754.42106893	7024961.98223516	19381448.1904474	4865564.45280407	14432940.7434098	3629205.569	7481616.43409803	5722392.232456	12418150.5723101	2736421.21174836	21409970.041612	16800892.2924606	11614294.0374106	3064910.835	6709122.531	9319331.337	9232152.322	12166155.19	19263257.59	11541263.11	9261018.82	22192261.88	8549965.582	16421621.53	7759241.4	13595252.19	11099670.22	12230484.26	5559782.972	14495897.68	7463057.912	7809300.56919003	10745014.85	2235512.759	19677193.07	27036695.24	16952829.56	12856372.6	14267079.74	16632555.98	18924523.0557556	8914306.78886698	11974294.4388013	17716210.0086873	11255186.6457772	8290100.10352017	15305285.8529341	7564938.72121392	10985778.5646114	11424249.319637	21708937.2491363	9647220.46940178	13645383.1723342	12764116.2455187	13297571.7638719	10129584.5314117	21602414.3020418	17101741.5978278	13124755.0455551	6091188.6110449	14529652.8125418	8285966.39131716	10173728.1767929	15716256.2783355	4658002.23609617	11567317.2873359	16999029.5744957	12409697.1553006	6156263.3766244	7833775.99765143	8124115.64013225	5953336.02917104	15586126.9854991	14023317.2348542		4017455.3740261	4975551.79034009	3855431.95415769	16762146.0308497	12423437.3204421	7657425.13725019	12092548.7398164	2551829.13226179	4050068.15407442	7561958.30506084	6065649.05806937	14186905.8553813	46	35	28	109	SIGNAL 1 22 Potential.	
Q12864	Q12864	Yes	S	23	23	23	Cadherin-17	CDH17		110306781.9	55778388.91	3034114.498	79450823.08	31567215.4830266	61154512.8183858	25985952.1658232	68926268.5077688	26941406.4112621	7857209.88643128	25501907.7207403	50943795.3333331	28567798.971386	7286980.1906328	5941785.59053291	20196129.7007142	240824.762895015	23258478.2105263	60177544.1828659		13983118.532056	5669944.36444705	11315215.0771028	16178493.6375295	35726269.4141021	156433384.48861		91100434.8235945	1533044.207	14206474.4491458	23279319.6209633	17112668.3845076	10029159.1526739	145231222.586795	1978502.10041701	79508730.4664524	9496366.93	38471065.79	50698718.34	70150987.22	64838421.02	85340665.84	41900148.66	15080568.16	97642331.74	50528841.35	82464666.8	45125572.46	40932403.43	25064724.37	53938562.59	6066429.861	90307411	42997794.18	56913067.8146844	64597813.11	18312421.83	140536627.7	192212667.2	100756924	70268474.81	34603383.01	25422797.77	84761286.4173729	66268213.863932	41214764.4442936	97742806.3025346	10740185.43106	47952992.1707158	82592098.7088267	50780401.1897707	69459538.6859051	61052090.2785602	76100192.4278332	62475620.461766	38512745.336757	11450163.1025976	63951480.6232397	58303539.2102072	38848961.9529517	61541562.7098347	44280345.7233807	15050690.2821303	62565102.3622217	43143030.9808502	41660347.0360597	66560469.1571669	14466009.5479171	69829786.7601503	224517542.742756	126928370.490883	58587600.7495845	20209789.6373037	69744666.9334887	30385918.4218861	162192085.668314	152279764.106146	3814784.27381008	30524206.084459	53690393.8955484	13680849.8805659	153253437.407838	67831173.4485725	28039668.2866629	74438624.5156644	13207132.3660617	59670008.6085619	29933781.9760502	28078811.5443102	108247626.824722	47	33	28	108	SIGNAL 1 22 Potential.	
P13688;P31997	P13688	Yes	S	4;1	3;0	3;0	Carcinoembryonic antigen-related cell adhesion molecule 1	CEACAM1		16295549.59	4068266.685	1896110.461	4700327.117	4179757.39859888	29022322.1343505	7204082.63257498	12371182.7740187	10111566.6556012	2739380.32772091	4931431.9871347	10766354.1996005	8245092.57869571	1278568.02878865	1702784.33472615	3707174.11824582		10810766.6133668	11070651.7367395		7486263.69060241		5255611.0210684	2807474.54341715	2260042.52795694	40625652.996737	149271.092876884	23501644.6990709	1424690.967	15247168.6270237	5309603.64621293	693958.550589111	3115819.56213654	14717993.9298401	799709.347907706	15949373.2918234	360341.1073	3591465.551	13580050.4	8299034.229	12339526.67	28472747.07	15174422.29	1847734.323	25704163.56	2368613.529	14652093.14	11818883.82	19844713.62	6072083.76	6084202.012	2998185.995	1767037.351	10911253.07	7924719.88598715		5389740.363	14779579.37	12102646.3	11537193.58	6534559.979	932573.0473	1892214.496	4198429.70576881	6563833.13091062	842899.871726763	39233413.1099922	4497254.44989726	40010262.8833326	11105749.1866748	3783713.63942729	7221102.59964711	23885700.2222411	38712480.4065381	5248355.32421932	4395014.40106962	1364484.80605463	4778513.85839351	8540620.87458793	28286697.0668739	14610010.0932184	12823610.1480893	2324924.2352493	17671920.7471179	9902411.30288888	2388768.03377482	12950195.1733485	20855983.0478113	3889230.69116649	37399959.0776964	4859033.00046027	2695977.72192576	9425143.10715179	5776257.10895693	7474102.20874195	24945731.9441948	107872396.407911	2427806.6858735	3612277.34934467	25768316.0518083		16101490.6540461		2132766.90472431	44451893.762515			7541928.26507687	681727.755213495	7387830.2401205	43	32	27	102	SIGNAL 1 34	
P06731	P06731	Yes	S	8	8	7	Carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	2493437.381	48388743.23	22917288.61	591433.0558	15729209.98	13645610.6341438	17900917.7863316	10935791.3136751	7988338.03542524	27818558.3127993	5145663.68879965	5222884.77827691	45650047.7029177	15409801.190222	3708896.39620009	2258397.05666621	3389511.208631	246061.651946167	7430513.49645304	35169034.7422058	1377946.90860578	4491291.51207411		1802448.04184849	1422772.29659796	1615085.24708051	22875643.6948365	241616.648283211	13431633.0458351	328073.9722	27756082.5905561	16790838.4794056	7444263.6094758	115000704.305771	29660919.5226689	863694.76333409	26140446.1345211	446543.8238	13102201.57	37608970.51	20347097.66	30617654.69	43144835.61	14088323.57	987662.1054	32568060.75	14609665.8	23845514.56	54860857.4	16859265.4	1168276.493	50284988.25	6489928.481	12355855.97	39149660.44	7698073.83441331	5018258.366	175472933.6	27257497.14	32185683.45	14023985.08	7898864.287	4230281.135	7803615.017	30328170.8498218	13798670.6829207	2989122.94440864	85335663.0300257	4988915.70808538	52164945.7098343	22448085.5925453	33374323.0253489	14455652.3177293	25576038.1643374	60687428.3287751	23920162.1922524	12915920.2012023	590142.27664758	8624063.58507949	36448823.0365219	14869122.9535065	18626218.6787069	27702462.520217	1085990.87319149	23272194.4096674	40012012.074436	5560973.28117253	39314710.6378867	14322219.9856313	10286494.9327795	80750407.3869312	6964760.81026989	12910102.0664067	4137725.06229478	3934728.84261151	4729043.14711884	47797049.4854076	90484991.8074796	6590567.98618358	8875689.47413897	11166181.9840004	3313132.47026937	20688310.91719	553757.070538795	24152371.4566863	221541720.141344		12987421.9814087	225031317.108843	90790369.6253346	24267149.7954331	46	35	28	109	SIGNAL 1 34	
